,plateifu,M*,sigma,min,mout,ext,hsig
0,10001-6104,11.422215577354011,2.3855073,11.079727736179297,10.937142162512934,-1.0,0.0
1,10213-3704,11.551376058440432,2.445147,11.206859109324636,11.062770787624011,0.0,-1.0
2,10214-3703,11.439000286818487,2.4391792,11.162268443917725,10.808284942049179,1.0,-1.0
3,10216-9101,11.594541769929831,2.4407659,11.330218500403706,10.950894207224788,1.0,-1.0
4,10219-3704,11.643483013686675,2.431699,11.3546036735801,11.048045631845728,1.0,-1.0
5,10222-6104,11.404054506535434,2.3466964,11.085927250584223,10.917786498702272,-1.0,1.0
6,10223-3701,11.39984620557037,2.3263001,11.204744437568694,10.52242494891446,1.0,1.0
7,10223-6103,11.224261999077088,2.3370018,11.02048406467942,10.42941836733677,0.0,0.0
8,10223-9101,11.208491320282796,2.2390432,10.980728342583214,10.465886593950943,0.0,1.0
9,10224-3701,11.240696759801038,2.3243082,11.08825065028848,10.31737386433306,1.0,0.0
10,10224-6102,11.250393986890238,2.3857598,11.019757314842295,10.599205780544288,0.0,-1.0
11,10226-9102,11.358569537421657,2.3648102,11.088324773665576,10.685436551879409,0.0,0.0
12,10493-6103,11.619598543014373,2.3956645,11.211776110291472,11.214095253704729,-1.0,1.0
13,10494-12702,11.86078117368726,2.4566665,11.27442342652137,11.59875886212044,0.0,0.0
14,10494-12703,11.299691658480187,2.390993,11.033560698763175,10.586817043281485,0.0,-1.0
15,10494-12704,11.567659141262936,2.4108741,11.116453793279332,11.200718310972988,-1.0,0.0
16,10494-6102,11.444457392421143,2.391841,11.118788020735515,10.915044752602114,-1.0,0.0
17,10495-3704,11.722522767507662,2.4370973,11.359350388737681,11.260111791928558,1.0,0.0
18,10495-9102,11.48355412626227,2.4205093,11.074667656690254,11.016317000998736,-1.0,0.0
19,10496-3701,11.69610901418215,2.5091302,11.32675826309731,11.261771943741927,1.0,-1.0
20,10496-9101,11.516114642597355,2.3713524,11.114164653773898,11.106644018753757,-1.0,1.0
21,10497-12704,11.675073082192807,2.4663987,11.25216043081077,11.292613238253674,-1.0,-1.0
22,10497-3702,11.20568170787461,2.375555,11.134005617475605,9.860776263496785,0.0,0.0
23,10497-6102,11.63009179558539,2.4197807,11.20420878311072,11.236633602267911,-1.0,0.0
24,10498-9102,11.538152728668587,2.388723,11.148007556578234,11.087463763835958,-1.0,1.0
25,10499-12702,11.58800763318206,2.3664708,11.023314240762044,11.283519049745697,0.0,1.0
26,10499-12703,11.733068406338491,2.4530773,11.252599760906495,11.401064886867049,-1.0,0.0
27,10499-9101,11.560811704310314,2.4324875,11.23034036072508,11.044761727055887,0.0,-1.0
28,10500-12705,11.368682342459413,2.329913,11.100382068739556,10.737398884823289,0.0,1.0
29,10500-9101,11.30724285728669,2.360296,11.052306806269952,10.63785695129503,0.0,0.0
30,10501-9102,11.228859532232452,2.3299067,11.023299610113948,10.344498913936045,1.0,0.0
31,10502-6102,11.344575969892052,2.4337168,11.142352182310269,10.563088050103838,1.0,-1.0
32,10503-12705,11.419527284031764,2.4269562,11.082442934573363,10.915287684359452,-1.0,-1.0
33,10507-12701,11.325006548292793,2.348147,11.04736880938346,10.690095308149651,0.0,1.0
34,10507-6104,11.329602052549248,2.380713,11.11376620834604,10.649044797096472,1.0,0.0
35,10508-6102,11.414229755483698,2.35665,11.142526947798391,10.765208719368227,0.0,1.0
36,10508-9101,11.550492697099127,2.4749117,11.26428935419229,10.968024886967898,1.0,-1.0
37,10510-12701,11.429140542226904,2.3570867,11.085776144378555,10.987423841758725,-1.0,1.0
38,10510-6102,11.338804439152222,2.3671463,11.094768145546855,10.664857030592287,0.0,0.0
39,10510-9102,11.477834924447022,2.4006934,11.176144958326244,10.940466754777793,0.0,0.0
40,10511-9102,11.569630527165517,2.434791,11.30670928386705,10.938419761911726,1.0,-1.0
41,10512-3704,11.461034010664386,2.4499838,11.240929701564097,10.74716939981625,1.0,-1.0
42,10513-12701,11.37350067090409,2.366116,11.01863891636325,10.887166863948648,-1.0,1.0
43,10513-9102,11.846991338329737,2.436972,11.332572291164677,11.52522433083177,0.0,1.0
44,10514-1902,11.474071759065652,2.3318791,11.284481573108168,10.69536548683911,1.0,1.0
45,10515-12703,11.345689718294434,2.3281207,10.996080063043298,10.822306844238286,-1.0,1.0
46,10517-12705,11.55868198261339,2.3666008,11.063519386027847,11.196678073827025,-1.0,1.0
47,10519-12703,11.476531021444906,2.3658583,11.025917028035124,11.094026980972938,-1.0,1.0
48,10519-6103,11.430620349272814,2.325062,11.254892058576488,10.56537289050706,0.0,1.0
49,10837-12702,11.338679663311884,2.439665,11.084303631912297,10.649981650686778,0.0,-1.0
50,10837-6102,11.337008190354737,2.3570113,11.115453816501997,10.6160292864652,1.0,0.0
51,10837-6103,11.677812674293236,2.4764144,11.316210792805869,11.18420203453897,1.0,-1.0
52,10837-6104,11.546676006488173,2.428106,11.264003854613557,10.944671596762754,1.0,-1.0
53,10838-12702,11.490540684511858,2.3598182,11.073644533030727,11.083361543231202,-1.0,1.0
54,10839-6102,11.334044326888817,2.3538852,11.1207408818645,10.585144057325692,1.0,0.0
55,10839-6104,11.252701772294579,2.3650951,11.002123638868728,10.569629144590929,0.0,0.0
56,10839-9102,11.811752833330408,2.4761374,11.265156517923804,11.513258497854375,-1.0,-1.0
57,10840-12701,11.290014721501036,2.3754103,10.981790131223633,10.756118920681567,-1.0,0.0
58,10840-6103,11.376892936107447,2.3724282,11.099865637729295,10.801742107262363,0.0,0.0
59,10840-6104,11.619695417535707,2.4948633,11.334529342368493,11.031665078980634,1.0,-1.0
60,10841-12704,11.604551234445632,2.4706905,11.22871265442448,11.150614013632287,0.0,-1.0
61,10841-9102,11.53496833249177,2.4302974,11.2214058224681,10.990866134770151,0.0,-1.0
62,10842-6104,11.593327583110495,2.4069004,11.303256121736831,11.016967647693399,1.0,0.0
63,10843-12701,11.638015694946697,2.3985412,11.196457563956283,11.25731903080172,-1.0,1.0
64,10843-12705,11.261675129253982,2.326129,10.91933640008728,10.720860276471079,-1.0,1.0
65,10843-3704,11.40786035622587,2.44941,11.172483389960844,10.746508259784743,1.0,-1.0
66,10843-6102,11.394202390824162,2.3875475,11.161629819107974,10.686244650761568,1.0,0.0
67,10844-3704,11.454617385037475,2.4243524,11.19444020894958,10.832252595381012,1.0,-1.0
68,10844-6102,11.41957269791884,2.3964775,11.175577171200267,10.752354911819118,1.0,-1.0
69,10844-6104,11.311846077279178,2.3611789,11.079249440470106,10.65355383903997,0.0,0.0
70,10844-9102,11.474153994235163,2.3992598,11.128678148637423,10.970671147416017,-1.0,0.0
71,10845-3701,11.53358843997445,2.3850977,11.253087585184547,10.882864989574315,1.0,0.0
72,10846-12701,11.575491528084775,2.4051652,11.138469103746296,11.183190197755543,-1.0,0.0
73,10846-12702,11.404059190426844,2.3765109,11.082912217964196,10.875787156368517,-1.0,0.0
74,11004-9102,11.422384339660704,2.3893332,11.115112973118485,10.883783115111068,0.0,0.0
75,11009-6104,11.726224749136541,2.48813,11.34474614701245,11.292827304669576,1.0,-1.0
76,11010-12701,11.220678341266721,2.2988918,11.05122902239119,10.292869087507587,1.0,1.0
77,11010-12702,11.515685243063627,2.3896022,11.182855719142319,11.018173694681755,0.0,0.0
78,11011-6103,11.33156747404238,2.2526057,11.053531589277304,10.697105492763049,0.0,0.0
79,11011-9102,11.511482994267606,2.3908336,11.122574661128263,11.076195431488594,-1.0,1.0
80,11012-3701,11.41342261685595,2.4010687,11.164363274101463,10.632271526039192,1.0,-1.0
81,11016-6102,11.377273298943047,2.3314135,10.935600625546222,10.94122168188467,0.0,1.0
82,11018-6103,11.268922314047964,2.3084788,11.048241040960638,10.516420768462098,0.0,1.0
83,11019-9101,11.300596918082158,2.3547533,11.061361250486163,10.643636654404403,0.0,0.0
84,11020-12702,11.928625306291341,2.454695,11.287364305274926,11.696491825441294,0.0,0.0
85,11020-12704,11.43405222963593,2.3688931,11.108306158488325,10.915334342646153,-1.0,1.0
86,11020-3701,11.345508238259479,2.2831137,11.12723547712536,10.609007464058786,1.0,1.0
87,11020-9101,11.728944058723947,2.415241,11.198474194580104,11.441592031771867,-1.0,1.0
88,11020-9102,11.42947196400774,2.3615491,11.143445705570517,10.863089914767091,0.0,1.0
89,11021-12705,11.367266704474789,2.3306513,11.027651107970392,10.884025554341342,-1.0,1.0
90,11021-3701,11.479159925803657,2.3942468,11.209450265352844,10.905732016117824,1.0,0.0
91,11024-12702,11.565062581682003,2.4256482,11.076686920642706,11.236522232720123,-1.0,0.0
